Department_ID,Department_Name,DOE
IDEPT4670,Aerospace Engineering,5/31/1961
IDEPT5528,Biosciences and Bioengineering,6/28/1943
IDEPT3115,Chemical Engineering,5/1/1940
IDEPT5881,Chemistry,6/8/2013
IDEPT4938,Civil Engineering,10/27/1941
IDEPT1423,Computer Science & Engineering,5/3/1941
IDEPT4132,Earth Sciences,8/19/1982
IDEPT2054,Electrical Engineering,5/27/1985
IDEPT2357,Energy Science and Engineering,3/28/2007
IDEPT1537,Humanities & Social Science,9/14/1953
IDEPT8379,Mathematics,1/3/1989
IDEPT1825,Mechanical Engineering,9/21/1971
IDEPT8313,Metallurgical Engineering & Materials Science,4/14/1992
IDEPT2425,Physics,9/14/1947
IDEPT1378,Industrial Design Centre,2/16/1993
IDEPT3868,Center for Learning and Teaching (PPCCLT),3/26/1982
IDEPT5127,Application Software Centre (ASC),10/22/1951
IDEPT5408,Centre for Research in Nanotechnology and Science (CRNTS),12/26/1985
IDEPT1142,Centre for Aerospace Systems Design and Engineering (CASDE),7/25/1966
IDEPT1367,Computer Centre (CC),4/5/2001
IDEPT7783,Centre for Distance Engineering Education Programme (CDEEP),12/10/1957
IDEPT5528,Sanitation and Digital Gaming,
IDEPT3062,Centre for Environmental Science and Engineering (CESE),5/23/1973
IDEPT1388,Centre for Policy Studies (CPS),1/5/1999
IDEPT7005,Centre of Studies in Resources Engineering (CSRE),8/22/1966
IDEPT7005,Centre of Studies in Craft Engineering (CSCE),8/22/1966
IDEPT1533,Centre for Technology Alternatives for Rural Areas (CTARA),11/14/1956
IDEPT9009,Centre for the Study of Ecology in Mars,7/9/2025
IDEPT3778,Centre for Formal Design and Verification of Software (CFDVS),5/22/1958
IDEPT4055,Centre for Urban Science and Engineering (C-USE),12/25/1966
IDEPT2601,Centre for Entrepreneurship (DSCE),7/10/1949
IDEPT1677,ABC-EDS Research Academy,7/10/1849
IDEPT7626,National Centre for Aerospace Innovation and Research (NCAIR),7/18/1961
IDEPT5109,National Center of Excellence in Technology for Internal Security (NCETIS),11/16/1956
IDEPT1615,National Centre for Mathematics (NCM),12/8/1988
IDEPT3868,Center for Learning and Teaching (PPCCLT),3/26/1982
IDEPT6347,Sophisticated Analytical Instrument Facility (SAIF),6/17/1968
IDEPT8598,Technology and Design (TCTD),4/27/1941
IDEPT8473,Centre for Bioengineering (WRCB),6/25/2001
IDEPT9009,Laser Technology Enhancements,
IDEPT1096,School of Management,3/7/2000
IDEPT4308,Climate Studies,5/26/1942
IDEPT9999,Centre for Studies of Mars Ecology,13/03/2025
IDEPT1836,Educational Technology,7/4/1965
IDEPT8825,Industrial Engineering and Operations Research (IEOR),11/16/1988
IDEPT1825,Materials Strength Testing,9/21/1971
IDEPT5564,Systems and Control Engineering,10/16/1981
